Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
462677077,-1212,0064,-1579,0024,0014,0006,090.5861,052.6243,003.6251
462682772,-1223,0062,-1575,0026,0009,0004,090.8871,052.4272,002.9454
462688490,-1209,0082,-1587,0024,0009,-0002,090.8929,052.0921,002.8914
462694169,-1219,0093,-1565,0019,0007,-0006,090.4042,052.7044,004.0124
462699864,-1206,0098,-1561,0015,0009,-0003,090.1704,051.9240,004.3990
462705508,-1209,0101,-1579,0011,0014,-0007,090.0743,052.2438,004.6678
462711281,-1203,0111,-1590,0007,0012,-0012,090.0467,052.4911,004.7906
462717016,-1201,0102,-1586,0005,0009,-0012,089.8312,052.8075,005.3428
462722747,-1203,0100,-1579,0006,0009,-0013,090.0896,052.7557,004.7901
462728396,-1194,0123,-1581,0005,0006,-0008,090.1026,052.5797,004.7500
462734018,-1212,0091,-1579,0007,0007,-0007,089.5620,052.8095,005.9989
462739609,-1196,0116,-1582,0008,0003,-0005,090.3946,052.3650,004.1249
462745239,-1192,0094,-1593,0006,0004,-0001,089.7132,052.8188,005.6985
462750863,-1195,0098,-1592,0003,0005,0001,090.3393,053.1341,004.3797
462756494,-1207,0107,-1596,0003,0001,0005,090.1748,052.9935,004.7313
462762152,-1213,0110,-1578,0002,-0002,0005,089.9862,052.7584,005.1170
462767804,-1218,0101,-1582,0003,-0005,0010,089.9112,052.2788,005.1987
462773480,-1242,0113,-1558,0003,-0005,0009,090.1567,052.3060,004.6883
462779121,-1242,0115,-1618,0004,0000,0010,089.7877,051.2070,005.2627
462784730,-1232,0122,-1592,0005,-0002,0007,089.8921,052.4888,005.3008
462790372,-1241,0120,-1573,0010,0002,0009,089.6707,052.0807,005.7018
462796033,-1273,0117,-1593,0008,0000,0004,089.7181,051.5317,005.5063
462801551,-1266,0119,-1576,0010,0002,0005,089.8275,051.2250,005.2361
462807237,-1273,0121,-1604,0012,0006,0004,089.7428,051.0814,005.3891
462812889,-1263,0126,-1570,0016,0012,0004,089.7620,051.4712,005.4354
462818720,-1253,0124,-1583,0015,0018,0004,089.5685,050.9813,005.7383
462824453,-1233,0135,-1559,0016,0025,0005,089.6818,051.5754,005.6421
462830216,-1229,0119,-1582,0015,0027,0004,089.3417,051.4847,006.3351
462835949,-1226,0119,-1565,0019,0025,0000,089.8566,052.1103,005.4085
462841574,-1233,0122,-1583,0016,0024,0001,089.7573,051.7624,005.5594
462847304,-1219,0125,-1567,0020,0025,0000,089.7342,051.9783,005.6624
462852879,-1206,0129,-1575,0022,0026,-0003,089.6415,051.9768,005.8701
462858613,-1214,0127,-1577,0025,0022,-0008,089.5765,052.4573,006.1293
462864357,-1184,0137,-1578,0026,0020,-0015,089.6511,052.2328,005.9402
462870133,-1195,0137,-1570,0025,0012,-0016,089.4095,053.0196,006.6726
462875907,-1205,0149,-1576,0025,0007,-0019,089.4358,052.4852,006.5131
462881705,-1206,0136,-1592,0026,0002,-0019,089.1601,052.3682,007.1106
462887468,-1219,0128,-1564,0022,0002,-0013,089.5722,052.7212,006.3197
462893252,-1224,0141,-1575,0028,0000,-0010,089.6598,051.8055,005.9437
462898846,-1219,0132,-1553,0026,0005,0001,089.3505,051.9780,006.6420
462904529,-1230,0120,-1574,0028,0001,0009,089.5625,051.6748,006.1325
462910197,-1224,0134,-1580,0033,0002,0018,089.8860,051.8811,005.4945
462915949,-1243,0128,-1561,0034,0004,0028,089.4879,052.0927,006.3636
462921698,-1232,0121,-1553,0033,0006,0037,089.6491,051.2099,005.8186
462927428,-1209,0126,-1549,0029,0008,0038,089.7780,051.4654,005.5916
462933167,-1228,0126,-1577,0032,0013,0036,089.6209,051.9163,005.9922
462938997,-1228,0132,-1556,0029,0010,0036,089.6866,051.9482,005.8441
462944810,-1230,0134,-1561,0032,0008,0028,089.4740,051.5024,006.1771
462950579,-1209,0126,-1593,0029,0007,0024,089.4587,051.6079,006.2260
462956310,-1208,0122,-1589,0030,0007,0020,089.7294,052.8123,005.9063
462962017,-1213,0138,-1593,0032,0005,0015,089.7781,052.5843,005.7451
462967759,-1206,0146,-1574,0034,-0003,0015,089.3798,052.5186,006.5936
462973480,-1214,0126,-1594,0034,-0005,0014,089.1982,052.3081,006.9358
462979245,-1219,0127,-1550,0035,-0003,0017,089.7634,052.5875,005.7683
462984976,-1202,0115,-1593,0038,-0007,0016,089.5670,051.5683,005.9589
462990747,-1226,0125,-1571,0035,-0005,0025,089.9713,053.0396,005.3796
462996411,-1211,0123,-1542,0036,-0003,0028,089.6124,051.7473,005.8710
463002151,-1223,0137,-1593,0036,-0006,0027,089.6382,051.7005,005.7931
463007930,-1220,0118,-1579,0038,-0001,0028,089.3775,052.3998,006.4853
463013673,-1217,0132,-1600,0036,-0002,0033,089.8543,052.1395,005.3894
463019457,-1215,0129,-1588,0042,0001,0031,089.4652,052.6415,006.3130
463025221,-1215,0127,-1559,0038,-0004,0029,089.5648,052.3840,006.0228
463030978,-1213,0125,-1577,0043,-0004,0032,089.5313,051.8569,005.9592
463036697,-1221,0115,-1595,0037,-0001,0028,089.6135,052.3383,005.8729
463042459,-1233,0127,-1581,0041,-0004,0025,089.8795,052.4497,005.3046
463048189,-1239,0122,-1581,0042,-0005,0023,089.5061,051.8203,005.9525
463053930,-1245,0121,-1606,0040,-0005,0024,089.6757,051.7659,005.5741
463059664,-1238,0107,-1581,0039,-0001,0024,089.7161,052.1198,005.5453
463065419,-1227,0113,-1580,0039,-0001,0027,090.0074,051.7856,004.8533
463071185,-1250,0119,-1583,0036,0001,0026,089.7997,052.0842,005.3248
463076922,-1240,0117,-1585,0040,-0001,0026,089.6769,051.5050,005.4503
463082665,-1217,0117,-1577,0040,0002,0027,089.7382,051.8809,005.3797
463088400,-1207,0100,-1568,0036,0005,0019,089.7092,052.2568,005.5046
463094125,-1236,0113,-1575,0029,0005,0016,090.1123,052.3183,004.6482
463099909,-1215,0079,-1620,0028,0000,0019,089.7376,051.6706,005.3083
463105516,-1216,0115,-1605,0028,0003,0017,090.6794,053.2327,003.5228
463111244,-1225,0103,-1610,0029,-0001,0015,089.6721,052.6526,005.6433
463116982,-1203,0101,-1605,0023,0001,0013,090.1031,052.6264,004.6969
463122741,-1221,0104,-1629,0024,0001,0009,090.0865,053.1076,004.8137
463128422,-1220,0099,-1628,0025,0000,0007,090.0536,053.0333,004.8722
463133969,-1194,0114,-1562,0026,-0002,0005,090.1703,053.0568,004.6149
463139687,-1230,0120,-1601,0025,0001,0003,089.7048,052.4231,005.5211
