Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
318659331,-1758,-0290,-0875,0035,0010,0019,090.9050,026.5532,-009.9110
318665082,-1755,-0284,-0895,0037,0009,0014,090.2346,026.1079,-009.3028
318670793,-1761,-0289,-0873,0042,0010,0009,089.5843,026.8029,-009.1811
318676488,-1782,-0281,-0895,0048,0008,0011,090.3608,025.9862,-009.3388
318682220,-1770,-0268,-0875,0049,0008,0007,089.3688,026.4427,-008.9132
318687887,-1796,-0268,-0889,0054,0010,0007,089.0997,026.0024,-008.5811
318693597,-1810,-0273,-0868,0051,0007,0009,088.8700,026.0947,-008.4799
318699256,-1789,-0285,-0897,0046,0011,0011,089.5698,025.2905,-008.5912
318705061,-1783,-0296,-0878,0047,0014,0013,089.6497,026.5115,-009.1285
318710845,-1773,-0304,-0885,0046,0012,0015,090.6505,025.8225,-009.4711
318716583,-1779,-0298,-0871,0040,0010,0016,090.8216,026.2524,-009.7683
318722329,-1754,-0300,-0864,0036,0013,0016,090.7133,025.7087,-009.4722
318728094,-1797,-0319,-0885,0036,0013,0014,090.9793,025.9227,-009.7338
318733900,-1772,-0319,-0881,0042,0013,0016,091.6194,025.8630,-010.1150
318739802,-1770,-0311,-0866,0046,0009,0016,091.5963,026.1108,-010.2231
318745601,-1753,-0306,-0860,0048,0005,0017,091.4297,025.6707,-009.9291
318751320,-1764,-0293,-0884,0049,0001,0016,091.2741,025.8029,-009.9005
318757077,-1722,-0294,-0861,0052,0003,0015,090.0104,026.3764,-009.3648
318762767,-1750,-0270,-0870,0049,-0002,0013,090.6470,026.2256,-009.7077
318768474,-1741,-0262,-0851,0049,-0002,0011,089.0420,026.1560,-008.6874
318774222,-1737,-0277,-0856,0047,-0006,0011,089.0633,025.7656,-008.5521
318779962,-1750,-0272,-0893,0047,-0005,0010,089.8419,025.9583,-009.1030
318785655,-1761,-0277,-0874,0047,-0006,0010,088.7976,026.8462,-008.8068
318791350,-1766,-0278,-0885,0046,-0007,0015,089.5436,026.0329,-008.9548
318797055,-1773,-0293,-0882,0040,-0003,0016,089.3040,026.3739,-008.9447
318802763,-1776,-0288,-0883,0039,-0002,0017,090.2784,026.1058,-009.4441
318808510,-1775,-0325,-0906,0040,0002,0018,089.8148,026.1434,-009.1761
318814197,-1789,-0305,-0890,0034,0004,0017,091.5400,026.7273,-010.5357
318819976,-1789,-0318,-0869,0029,0006,0021,090.4779,026.0415,-009.5552
318825740,-1784,-0311,-0869,0021,0005,0022,091.8212,025.4911,-010.1472
318831519,-1801,-0330,-0885,0023,0008,0018,091.2046,025.6578,-009.8459
318837233,-1809,-0315,-0869,0020,0012,0024,092.0388,025.8167,-010.4442
318843018,-1796,-0320,-0882,0027,0008,0018,091.4008,025.2617,-009.8001
318848751,-1779,-0295,-0887,0025,0008,0018,091.4954,025.8775,-010.1408
318854515,-1795,-0306,-0895,0028,0002,0012,089.9104,026.2363,-009.3068
318860228,-1788,-0297,-0868,0027,0001,0011,090.6172,026.1652,-009.7202
318865955,-1786,-0315,-0901,0023,-0002,0004,090.5447,025.5096,-009.3940
318871609,-1774,-0278,-0880,0014,0001,-0001,090.9361,026.5317,-010.0814
318877325,-1773,-0310,-0903,0008,0002,-0003,089.1398,026.0497,-008.7485
318882931,-1775,-0329,-0903,0005,0008,-0005,090.7967,026.7163,-010.0619
318888606,-1770,-0313,-0892,0005,0011,-0005,091.6690,026.5608,-010.5571
318894328,-1771,-0313,-0877,0003,0010,-0005,090.8775,026.3733,-009.9571
318899947,-1757,-0320,-0871,0010,0010,-0006,091.2976,025.9533,-010.0339
318905715,-1773,-0309,-0874,0020,0007,-0006,091.7827,026.0058,-010.3655
318911397,-1776,-0281,-0890,0019,0007,-0004,091.0088,025.8897,-009.8263
318917078,-1771,-0282,-0884,0021,0005,-0005,089.1585,026.3936,-008.8828
318922744,-1770,-0284,-0870,0024,0004,0000,089.5801,026.2202,-009.0723
318928259,-1775,-0270,-0883,0025,0005,0005,089.8998,025.8586,-009.1209
318933918,-1769,-0275,-0889,0028,0005,0009,088.7866,026.2318,-008.5866
318939555,-1779,-0280,-0871,0030,-0003,0014,089.1208,026.4270,-008.8668
318945246,-1746,-0279,-0895,0026,-0003,0018,089.7142,025.7255,-008.9512
318950984,-1749,-0267,-0883,0019,-0002,0017,089.1324,026.9868,-009.0904
318956745,-1755,-0285,-0893,0010,0001,0020,088.7241,026.4715,-008.6279
318962378,-1765,-0298,-0898,0009,0005,0021,089.6374,026.6910,-009.2831
318968072,-1770,-0286,-0897,0004,0009,0019,090.2011,026.6382,-009.6168
318973730,-1777,-0293,-0873,0008,0014,0020,089.4571,026.5751,-009.1155
318979436,-1781,-0294,-0898,0006,0015,0021,090.4344,025.7698,-009.3881
318985147,-1792,-0314,-0874,0008,0020,0017,089.8784,026.5506,-009.3656
318990866,-1785,-0298,-0870,0015,0017,0011,091.5986,025.5519,-010.0085
318996716,-1781,-0307,-0862,0016,0016,0009,090.4821,025.7006,-009.3889
319002444,-1790,-0317,-0876,0025,0011,0007,091.3746,025.4726,-009.8374
319008161,-1789,-0278,-0902,0031,0008,0010,091.5335,025.7641,-010.0716
319013902,-1782,-0300,-0903,0041,0006,0007,088.7240,026.5810,-008.6644
319019524,-1774,-0290,-0864,0046,0010,0008,090.3241,026.5482,-009.6629
319025232,-1771,-0263,-0870,0048,0006,0008,090.3085,025.5619,-009.2426
319030886,-1770,-0271,-0906,0050,0004,0011,088.5765,025.9548,-008.3581
319036575,-1761,-0272,-0885,0043,-0004,0007,088.6119,026.9591,-008.7587
319042220,-1742,-0269,-0882,0041,-0002,0013,089.0257,026.3498,-008.7841
319047959,-1737,-0273,-0883,0034,-0002,0013,088.8593,026.6024,-008.7777
319053696,-1738,-0285,-0887,0030,0001,0018,089.0839,026.6687,-008.9436
319059410,-1715,-0278,-0873,0035,0002,0021,089.6730,026.7352,-009.3453
319065131,-1712,-0278,-0886,0040,0002,0026,089.4730,026.6733,-009.1968
319070834,-1727,-0292,-0872,0043,0001,0028,089.2496,027.0779,-009.2208
319076550,-1742,-0295,-0877,0044,0000,0027,090.2846,026.4230,-009.6178
319082185,-1729,-0283,-0888,0040,0001,0031,090.2747,026.3940,-009.6053
319087901,-1747,-0298,-0868,0040,-0003,0030,089.3919,026.9152,-009.2634
319093567,-1766,-0304,-0890,0037,-0005,0031,090.6779,026.0220,-009.7078
319099294,-1766,-0293,-0902,0034,-0008,0034,090.4609,026.4638,-009.7675
319105009,-1786,-0301,-0903,0033,-0009,0033,089.6151,026.7756,-009.3624
319110745,-1764,-0298,-0892,0032,-0007,0031,090.1681,026.4578,-009.5853
319116508,-1788,-0306,-0907,0032,-0005,0027,090.1291,026.5031,-009.5831
319122248,-1789,-0299,-0905,0032,-0001,0020,090.3028,026.5703,-009.7254
319127971,-1809,-0324,-0897,0030,0001,0013,089.9209,026.5080,-009.4574
319133671,-1820,-0320,-0888,0033,0005,0011,091.5178,025.9611,-010.2318
319139480,-1807,-0329,-0889,0038,0010,0002,091.2901,025.6292,-009.9445
319145199,-1820,-0314,-0900,0036,0012,0002,091.7976,025.8538,-010.3700
319150956,-1826,-0308,-0892,0043,0013,-0001,090.6631,025.9968,-009.7279
319156685,-1792,-0304,-0873,0048,0010,-0004,090.6100,025.6897,-009.5672
319162393,-1797,-0278,-0855,0051,0012,0002,090.7520,025.6513,-009.6442
319168113,-1786,-0284,-0901,0047,0015,0004,089.5149,025.1228,-008.6882
319173822,-1783,-0304,-0878,0042,0019,0003,089.1542,026.6818,-009.0916
319179549,-1753,-0282,-0894,0037,0021,0003,090.8121,025.7927,-009.7586
319185284,-1760,-0285,-0894,0034,0020,0003,088.9919,026.8549,-009.0602
319190978,-1754,-0293,-0900,0029,0021,0004,089.4006,026.6074,-009.2191
319196673,-1751,-0285,-0880,0020,0018,0005,089.6989,026.8800,-009.5190
319202376,-1738,-0290,-0894,0018,0016,0008,089.5779,026.3370,-009.2161
319208120,-1763,-0283,-0898,0016,0011,0010,089.6211,026.9685,-009.5002
319213904,-1749,-0297,-0877,0018,0010,0011,089.1330,026.6603,-009.0600
319219663,-1757,-0307,-0874,0022,0004,0013,090.4101,026.2647,-009.7010
319225371,-1735,-0299,-0856,0020,0009,0011,090.9010,026.0886,-009.9343
319231108,-1755,-0294,-0855,0018,0004,0013,090.7479,025.9172,-009.7636
319236870,-1752,-0293,-0874,0013,0005,0012,090.4860,025.6372,-009.4799
