Time Stamp,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Yaw (Deg),Pitch (Deg),Roll (Deg)
209883182,-1326,0177,-1472,0022,-0006,0001,090.2705,047.5887,007.0783
209888880,-1330,0160,-1499,0020,-0004,0001,089.9464,047.7441,007.6638
209894517,-1312,0158,-1492,0021,-0003,-0004,090.5617,048.2645,006.7510
209900236,-1324,0153,-1484,0019,-0001,0000,090.5184,048.4877,006.8787
209905837,-1306,0167,-1507,0020,-0003,0000,090.6395,048.0195,006.5573
209911369,-1291,0181,-1472,0022,0001,-0003,090.3064,048.9461,007.3662
209917043,-1305,0183,-1468,0021,-0002,-0001,089.8599,048.4283,008.0206
209922708,-1323,0196,-1479,0024,-0001,0002,089.8270,048.0508,007.9742
209928373,-1327,0195,-1494,0020,-0005,0001,089.5026,047.8469,008.4776
209934017,-1313,0206,-1500,0024,-0006,-0001,089.6326,048.1043,008.3380
209939654,-1323,0207,-1500,0020,-0008,0006,089.3324,048.4926,008.9896
209945277,-1333,0219,-1518,0022,-0011,0005,089.3482,048.2035,008.8776
209951029,-1322,0209,-1490,0021,-0007,0009,089.0871,048.3410,009.3886
209956720,-1336,0213,-1481,0024,-0005,0007,089.2963,048.0220,008.9267
209962409,-1338,0209,-1490,0026,-0003,0008,089.1223,047.5244,009.0716
209968074,-1340,0189,-1488,0029,-0004,0009,089.2985,047.7512,008.8486
209973755,-1364,0177,-1497,0032,-0001,0010,089.8383,047.7028,007.9175
209979474,-1337,0185,-1489,0033,0000,0008,090.1393,047.3826,007.3242
209985091,-1346,0194,-1462,0034,0003,0008,089.8442,047.8552,007.9398
209990762,-1375,0182,-1495,0032,0005,0007,089.5200,046.9732,008.2264
209996454,-1338,0190,-1491,0029,0008,0003,090.0274,047.1624,007.4535
210002146,-1372,0188,-1459,0022,0015,0000,089.7250,047.8997,008.1665
210007758,-1364,0194,-1483,0022,0018,0000,089.7108,046.3528,007.7631
210013415,-1354,0190,-1493,0018,0018,0001,089.6323,047.2019,008.1354
210019174,-1341,0180,-1468,0021,0017,0003,089.8005,047.5607,007.9646
210024889,-1330,0196,-1480,0025,0018,0002,089.9809,047.3033,007.5979
210030614,-1338,0177,-1469,0026,0014,0009,089.5293,047.8140,008.4996
210036380,-1346,0179,-1492,0033,0014,0009,090.1104,047.3683,007.3972
210042129,-1321,0202,-1456,0036,0010,0013,090.0445,047.7392,007.5954
210047993,-1303,0192,-1468,0033,0010,0012,089.2505,047.4131,008.8303
210053705,-1304,0194,-1486,0034,0010,0016,089.6750,048.1695,008.3327
210059486,-1296,0195,-1450,0029,0007,0019,089.6359,048.4510,008.4795
210065247,-1299,0197,-1500,0027,0004,0015,089.4833,047.8468,008.5609
210070986,-1288,0225,-1526,0022,0004,0016,089.6272,048.9178,008.6346
210076732,-1303,0201,-1496,0022,0003,0011,088.9383,049.4756,010.1017
210082501,-1294,0208,-1481,0023,0000,0007,089.5877,048.4873,008.5931
210088094,-1339,0208,-1476,0026,-0004,0006,089.2640,048.4846,009.1710
210093774,-1327,0200,-1483,0028,-0007,0007,089.2750,047.3098,008.7838
210099407,-1339,0197,-1486,0026,-0007,0004,089.5349,047.9203,008.5368
210105091,-1329,0203,-1453,0023,-0006,0003,089.6013,047.6322,008.3437
210110751,-1346,0195,-1497,0022,-0006,0002,089.3029,047.1751,008.7116
210116453,-1335,0183,-1477,0019,-0002,-0001,089.7419,047.8116,008.1759
210122143,-1338,0179,-1505,0019,-0001,0000,089.9604,047.5924,007.7520
210127709,-1343,0202,-1471,0015,0000,-0004,090.1433,048.1565,007.6022
210133280,-1350,0192,-1451,0015,0007,-0006,089.3661,047.1891,008.6473
210138972,-1361,0192,-1443,0011,0010,-0001,089.6708,046.7262,008.0294
210144671,-1350,0185,-1465,0017,0010,-0003,089.6122,046.3484,008.0265
210150374,-1326,0191,-1474,0016,0010,-0003,089.9243,047.1774,007.7663
210156113,-1363,0194,-1503,0019,0006,-0005,089.7449,047.8056,008.2523
210161786,-1354,0188,-1468,0023,0006,-0004,089.7964,047.4736,008.0777
